keys;pl
PK157;W tej sytuacji rowerzysta:
PK157O1;ustępuje pierwszeństwa tramwajowi
PK157O2;przejeżdża pierwszy
PK157O3;przejeżdża ostatni
PK157DO;A
PK158;W tej sytuacji rowerzysta:
PK158O1;przejeżdża pierwszy
PK158O2;ma pierwszeństwo przed pojazdem uprzywilejowanym
PK158O3;przejeżdża drugi
PK158DO;C
PK159;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK159O1;motorower – tramwaj – rower
PK159O2;tramwaj – motorower – rower
PK159O3;tramwaj – rower – motorower
PK159DO;C
PK160;W tej sytuacji rowerzysta:
PK160O1;przejeżdża pierwszy
PK160O2;ma pierwszeństwo przed tramwajem
PK160O3;przejeżdża ostatni
PK160DO;C
PK161;W tej sytuacji rowerzysta:
PK161O1;ustępuje pierwszeństwa tramwajowi
PK161O2;ma pierwszeństwo przed samochodem
PK161O3;przejeżdża pierwszy
PK161DO;A
PK162;W tej sytuacji rowerzysta:
PK162O1;przejeżdża pierwszy równocześnie z tramwajem
PK162O2;nie może wjechać na skrzyżowanie
PK162O3;ustępuje pierwszeństwa motorowerowi
PK162DO;A
PK163;W tej sytuacji rowerzysta:
PK163O1;ustępuje pierwszeństwa tramwajowi
PK163O2;przejeżdża pierwszy
PK163O3;ustępuje pierwszeństwa samochodowi
PK163DO;B
PK164;W tej sytuacji rowerzysta:
PK164O1;ma pierwszeństwo przed pojazdem z lewej strony
PK164O2;przejeżdża pierwszy
PK164O3;ustępuje pierwszeństwa pojazdowi uprzywilejowanemu
PK164DO;C
PK165;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK165O1;rower – tramwaj – pojazd uprzywilejowany
PK165O2;tramwaj – rower – pojazd uprzywilejowany
PK165O3;pojazd uprzywilejowany i tramwaj – rower
PK165DO;C
PK166;W tej sytuacji rowerzysta:
PK166O1;ustępuje pierwszeństwa samochodowi z lewej strony
PK166O2;przejeżdża pierwszy
PK166O3;nie może wjechać na skrzyżowanie do czasu zmiany światła na zielone
PK166DO;A
PK167;W tej sytuacji rowerzysta:
PK167O1;ustępuje pierwszeństwa samochodowi z lewej strony
PK167O2;przejeżdża pierwszy
PK167O3;ustępuje pierwszeństwa tramwajowi
PK167DO;B
PK168;W tej sytuacji rowerzysta:
PK168O1;nie może wjechać na skrzyżowanie do czasu zmiany świateł
PK168O2;przejeżdża pierwszy
PK168O3;ustępuje pierwszeństwa samochodowi z lewej strony
PK168DO;C
PK169;W tej sytuacji rowerzysta:
PK169O1;ma pierwszeństwo przed tramwajem z lewej strony
PK169O2;ma pierwszeństwo przed tramwajem z prawej strony
PK169O3;przejeżdża pierwszy
PK169DO;B
PK170;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK170O1;tramwaj – rower – pojazd uprzywilejowany
PK170O2;pojazd uprzywilejowany – rower – tramwaj
PK170O3;rower – pojazd uprzywilejowany – tramwaj
PK170DO;B
PK171;W tej sytuacji rowerzysta:
PK171O1;przejeżdża pierwszy
PK171O2;nie ma pierwszeństwa przed samochodem z lewej strony
PK171O3;ustępuje pierwszeństwa pojazdowi uprzywilejowanemu
PK171DO;C
PK172;W tej sytuacji rowerzysta:
PK172O1;przejeżdża pierwszy
PK172O2;ma pierwszeństwo przed samochodem z lewej strony
PK172O3;przejeżdża ostatni
PK172DO;C
PK173;W tej sytuacji rowerzysta:
PK173O1;przejeżdża pierwszy
PK173O2;ma pierwszeństwo przed samochodem z przeciwka, który skręca w lewo
PK173O3;może wjechać na skrzyżowanie po zatrzymaniu się przed sygnalizatorem i upewnieniu się, że nie utrudni ruchu
PK173DO;C
PK174;W tej sytuacji rowerzysta:
PK174O1;ustępuje pierwszeństwa tramwajowi
PK174O2;ustępuje pierwszeństwa motorowerowi
PK174O3;przejeżdża pierwszy
PK174DO;C
PK175;W tej sytuacji rowerzysta:
PK175O1;przejeżdża ostatni
PK175O2;ma pierwszeństwo przed motorowerem
PK175O3;przejeżdża pierwszy
PK175DO;A
PK176;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK176O1;rower – pojazd uprzywilejowany – tramwaj
PK176O2;pojazd uprzywilejowany – rower i tramwaj
PK176O3;tramwaj – rower – pojazd uprzywilejowany
PK176DO;B
PK177;W tej sytuacji rowerzysta:
PK177O1;przejeżdża ostatni
PK177O2;nie ustępuje pierwszeństwa pojazdowi z lewej strony
PK177O3;przejeżdża pierwszy
PK177DO;A
PK178;W tej sytuacji rowerzysta:
PK178O1;ma pierwszeństwo przed motorowerem
PK178O2;ustępuje pierwszeństwa motorowerowi
PK178O3;przejeżdża pierwszy
PK178DO;B
PK179;W tej sytuacji rowerzysta:
PK179O1;przejeżdża pierwszy
PK179O2;ustępuje pierwszeństwa pojazdom uprzywilejowanym
PK179O3;musi czekać na zmianę światła na zielone
PK179DO;B
PK180;W tej sytuacji rowerzysta:
PK180O1;ustępuje pierwszeństwa pojazdowi uprzywilejowanemu
PK180O2;przejeżdża pierwszy
PK180O3;przejeżdża ostatni
PK180DO;A
PK181;W tej sytuacji rowerzysta:
PK181O1;przejeżdża pierwszy
PK181O2;ustępuje pierwszeństwa motorowerowi
PK181O3;ustępuje pierwszeństwa tramwajowi z lewej strony
PK181DO;C
PK182;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK182O1;rower – tramwaj i motorower
PK182O2;motorower i tramwaj – rower
PK182O3;tramwaj – rower – motorower
PK182DO;A
PK183;W tej sytuacji rowerzysta:
PK183O1;przejeżdża pierwszy
PK183O2;ustępuje pierwszeństwa tylko pojazdowi uprzywilejowanemu
PK183O3;przejeżdża ostatni
PK183DO;B
PK184;W tej sytuacji rowerzysta:
PK184O1;przejeżdża równocześnie z pojazdem uprzywilejowanym straży pożarnej
PK184O2;przejeżdża ostatni
PK184O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK184DO;A
PK185;W tej sytuacji rowerzysta:
PK185O1;przejeżdża ostatni
PK185O2;przejeżdża równocześnie z pojazdem uprzywilejowanym
PK185O3;ustępuje pierwszeństwa pojazdowi uprzywilejowanemu
PK185DO;C
PK186;W tej sytuacji rowerzysta:
PK186O1;ustępuje pierwszeństwa pojazdowi nadjeżdżającemu z przeciwka
PK186O2;przejeżdża pierwszy
PK186O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK186DO;A
PK187;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK187O1;rowerzysta na przejeździe – samochód osobowy  –  rowerzysta skręcający w lewo
PK187O2;rowerzysta skręcający w lewo – rowerzysta na przejeździe – samochód osobowy
PK187O3;samochód osobowy –  rowerzysta skręcający w lewo – rowerzysta na przejeździe
PK187DO;A
PK188;W tej sytuacji rowerzysta skręcający w lewo:
PK188O1;powinien zatrzymać się przed przejściem dla pieszych
PK188O2;ustępuje pierwszeństwa rowerzyście na przejeździe
PK188O3;przejeżdża pierwszy
PK188DO;B
PK189;W tej sytuacji rowerzysta:
PK189O1;przejeżdża pierwszy
PK189O2;przejeżdża ostatni
PK189O3;ma pierwszeństwo przed pojazdem nadjeżdżającym z przeciwka
PK189DO;B
PK190;W tej sytuacji rowerzysta:
PK190O1;przejeżdża pierwszy
PK190O2;ma pierwszeństwo przed tramwajem
PK190O3;ustępuje pierwszeństwa obu pojazdom
PK190DO;B
PK191;W tej sytuacji rowerzysta skręcający w lewo:
PK191O1;przejeżdża pierwszy
PK191O2;ma pierwszeństwo przed samochodem osobowym
PK191O3;ma pierwszeństwo przed rowerzystą na przejeździe
PK191DO;B
PK192;Podaj prawidłową kolejność przejazdu Przez to skrzyżowanie:
PK192O1;pojazd uprzywilejowany – rower – samochód osobowy
PK192O2;samochód osobowy – pojazd uprzywilejowany – rower
PK192O3;rower – pojazd uprzywilejowany – samochód osobowy
PK192DO;A
PK193;W tej sytuacji rowerzysta:
PK193O1;przejeżdża ostatni
PK193O2;przejeżdża drugi
PK193O3;ustępuje pierwszeństwa pojazdowi z lewej strony
PK193DO;B
PK194;W tej sytuacji rowerzysta:
PK194O1;ma pierwszeństwo przed pojazdem z prawej strony
PK194O2;nie ustępuje pierwszeństwa pojazdowi z lewej strony
PK194O3;przejeżdża ostatni
PK194DO;C
PK195;W tej sytuacji rowerzysta:
PK195O1;ma pierwszeństwo przed tramwajem z lewej strony
PK195O2;ustępuje pierwszeństwa tramwajowi z prawej strony
PK195O3;ma pierwszeństwo przed motorowerzystą
PK195DO;C
PK196;W tej sytuacji rowerzysta:
PK196O1;przejeżdża pierwszy
PK196O2;ustępuje pierwszeństwa pojazdowi z prawej strony
PK196O3;ustępuje pierwszeństwa pojazdowi z lewej strony
PK196DO;A
PK197;W tej sytuacji rowerzysta:
PK197O1;ustępuje pierwszeństwa tramwajowi z prawej strony
PK197O2;ustępuje pierwszeństwa tramwajowi z lewej strony
PK197O3;ustępuje pierwszeństwa motorowerzyście
PK197DO;B
PK198;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK198O1;pojazd uprzywilejowany – rower – tramwaj
PK198O2;tramwaj – pojazd uprzywilejowany – rower
PK198O3;rower – pojazd uprzywilejowany – tramwaj
PK198DO;A
PK199;W tej sytuacji rowerzysta:
PK199O1;przejeżdża pierwszy
PK199O2;ustępuje pierwszeństwa pojazdowi uprzywilejowanemu
PK199O3;ma pierwszeństwo przed samochodem osobowym
PK199DO;B
PK200;W tej sytuacji rowerzysta:
PK200O1;przejeżdża pierwszy
PK200O2;ma pierwszeństwo przed tramwajem
PK200O3;przejeżdża drugi
PK200DO;C
PK201;W tej sytuacji rowerzysta:
PK201O1;przejeżdża pierwszy
PK201O2;ustępuje pierwszeństwa tramwajowi
PK201O3;przejeżdża ostatni
PK201DO;A
PK202;W tej sytuacji rowerzysta:
PK202O1;ustępuje pierwszeństwa samochodowi osobowemu
PK202O2;ustępuje pierwszeństwa tramwajowi
PK202O3;przejeżdża pierwszy
PK202DO;C
PK203;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK203O1;samochód straży pożarnej – rower – samochód osobowy
PK203O2;samochód straży pożarnej – samochód osobowy – rower
PK203O3;rower – samochód straży pożarnej – samochód osobowy
PK203DO;A
PO1;Sygnał ten oznacza (rower ma kolor czerwony):
PO1O1;zakaz wjazdu motorowerem za sygnalizator
PO1O2;zakaz wjazdu rowerem za sygnalizator
PO1O3;zezwolenie na wjazd rowerem za sygnalizator
PO1DO;B
PO2;Widząc ten znak na drodze, rowerzysta:
PO2O1;musi obowiązkowo ustępować pierwszeństwa pieszym na drodze
PO2O2;wjeżdża do strefy zamieszkania i nie może przekroczyć prędkości 40 km na godzinę
PO2O3;może jechać z prędkością bezpieczną, na przykład 20 km na godzinę
PO2DO;C
PO3;Przedstawiona postawa policjanta regulującego ruchem na skrzyżowaniu (stoi bokiem do kierującego):
PO3O1;zezwala rowerzyście na wjazd na skrzyżowanie
PO3O2;zakazuje rowerzyście wjazdu na skrzyżowanie
PO3O3;jest odpowiednikiem sygnału żółtego na sygnalizatorze
PO3DO;A
PO4;W  Polsce zgodnie z "Prawem o ruchu drogowym" obowiązuje  ruch:
PO4O1;prawostronny
PO4O2;lewostronny
PO4O3;po dowolnej stronie
PO4DO;A
PO5;Rowerzysta korzystający z jezdni musi jechać:
PO5O1;po prawej stronie
PO5O2;po lewej stronie
PO5O3;dowolną stroną
PO5DO;A
PO6;Część jezdni przeznaczonej do ruchu rowerów w jednym kierunku, oznaczonej odpowiednimi znakami drogowymi to:
PO6O1;pas ruchu dla rowerów
PO6O2;droga dla rowerów
PO6O3;pobocze
PO6DO;A
PO7;Kartę rowerową może uzyskać dziecko, które ukończyło co najmniej:
PO7O1;7 lat
PO7O2;10 lat
PO7O3;13 lat
PO7DO;B
PO8;10. Część jezdni na wlocie skrzyżowania na całej szerokości jezdni lub wybranego pasa ruchu przeznaczona do zatrzymania rowerów w celu zmiany kierunku jazdy lub ustąpienia pierwszeństwa, oznaczona odpowiednimi znakami drogowymi to:
PO8O1;droga dla rowerów
PO8O2;pas ruchu dla rowerów
PO8O3;śluza dla rowerów
PO8DO;C
PO9;Odległość między kolumnami wózków rowerowych nie może być mniejsza niż:
PO9O1;100 m
PO9O2;200 m
PO9O3;500 m
PO9DO;B
PO10;Na skrzyżowaniu równorzędnym pierwszeństwo ma pojazd:
PO10O1;jadący prosto
PO10O2;skręcający w lewo
PO10O3;mający prawą stronę wolną
PO10DO;C
PO11;Jeżeli na skrzyżowaniu ruchem kieruje policjant, a przed skrzyżowaniem jest sygnalizacja świetlna i ustawione są znaki, to kierujący pojazdem w pierwszej kolejności stosuje się do:
PO11O1;poleceń kierującego ruchem
PO11O2;sygnalizacji świetlnej
PO11O3;znaków drogowych
PO11DO;A
PO12;Pod opieką osoby dorosłej może jechać rowerem po chodniku dziecko, które nie ukończyło:
PO12O1;10 lat
PO12O2;12 lat
PO12O3;13 lat
PO12DO;A
PO13;Który pojazd zaliczamy do uprzywilejowanych?
PO13O1;karetki pogotowia
PO13O2;policji
PO13O3;straży pożarnej jadący do gaszenia pożaru na sygnałach i z włączonymi światłami mijania lub drogowymi
PO13DO;C
PO14;Jadąc w kolumnie rowerzystów, należy pamiętać, że odległość od poprzedzającego roweru:
PO14O1;nie jest określona
PO14O2;wynosi minimum 3 metry lecz nie powinna być krótsza niż droga hamowania
PO14O3;musi wynosić co najmniej 5 metrów
PO14DO;A
PO15;Holowanie roweru jest:
PO15O1;dopuszczalne wyłącznie na połączeniu giętkim a długość linki wynosi od 4 do 6 m
PO15O2;dopuszczalne, ale tylko przez kierującego pojazdem niemechanicznym, a odległość między pojazdami wynosi nie więcej niż 3 m na połączeniu giętkim
PO15O3;zabronione
PO15DO;C
PO16;Po wjeździe do strefy zamieszkania:
PO16O1;obowiązuje ograniczenie prędkości do 30 km/h
PO16O2;obowiązuje zakaz zatrzymywania się w dowolnym miejscu
PO16O3;rowerzyści ustępują pierwszeństwa pieszym
PO16DO;C
PO17;Kierujący rowerem może wyprzedzać inne powoli jadące pojazdy z ich prawej strony z wyjątkiem:
PO17O1;motoroweru
PO17O2;czterokołowca lekkiego
PO17O3;roweru
PO17DO;C
PO18;Pieszy korzystający z jezdni musi iść:
PO18O1;po prawej stronie
PO18O2;po lewej stronie
PO18O3;dowolną stroną
PO18DO;B
PO19;Kolumna dzieci do lat dziesięciu musi iść po:
PO19O1;prawej stronie jezdni
PO19O2;lewej  stronie jezdni
PO19O3;dowolnej stronie jezdni
PO19DO;B
PO20;Po drogach publicznych, poza strefą zamieszkania, nie mogą poruszać się samodzielnie dzieci, które nie ukończyły:
PO20O1;10 lat
PO20O2;8 lat
PO20O3;7 lat
PO20DO;C
PO21;Kiedy piesi mogą przekraczać jezdnię poza przejściami dla pieszych?
PO21O1;na zakrętach o słabej widoczności drogi
PO21O2;gdy odległość od przejścia jest większa niż 100 m
PO21O3;tylko w strefie zamieszkania
PO21DO;B
PO22;Pieszemu zabrania się:
PO22O1;przebiegania przez jezdnię
PO22O2;przechodzenia przez tory, gdy dopiero rozpoczęto podnoszenie zapór
PO22O3;wyprzedzania pieszego z jego prawej strony
PO22DO;A
PO23;Kiedy rowerzysta nie może jechać po jezdni?
PO23O1;w strefie zamieszkania
PO23O2;gdy obok jezdni jest droga dla rowerów
PO23O3;gdy jezdnia jest na drodze jednokierunkowej
PO23DO;A
PO24;Kto może otrzymać kartę rowerową?
PO24O1;każdy po ukończeniu 10 lat
PO24O2;osoba, która ukończyła 10 lat i zdała odpowiedni egzamin
PO24O3;każdy uczeń, który ukończył trzecią klasę szkoły podstawowej
PO24DO;B
PO25;Jak powinien zachować się rowerzysta, kiedy na skrzyżowaniu świeci się zielone światło, a policjant zabrania jazdy?
PO25O1;jechać dalej, ponieważ mamy zielone światło
PO25O2;zatrzymać się, ponieważ polecenie policjanta jest ważniejsze od sygnałów świetnych i znaków drogowych
PO25O3;zachowywać się tak jak na skrzyżowaniu równorzędnym
PO25DO;B
PO26;Czy na rowerze jednoosobowym, jednośladowym można przewozić inną osobę?
PO26O1;nie można
PO26O2;osoba, która ukończyła 17 lat może przewozić dziecko do lat 7 pod warunkiem, że jest ono umieszczone na dodatkowym siodełku, zapewniającym bezpieczną jazdę
PO26O3;można  zawsze bez dodatkowych warunków
PO26DO;B
PO27;Kierującemu rowerem zabrania się:
PO27O1;jazdy po drodze dla pieszych w słoneczny, bezwietrzny, letni dzień
PO27O2;jazdy, gdy kierujący trzyma kierownicę tylko jedną ręką
PO27O3;jazdy obok innego rowerzysty na drodze dla rowerów
PO27DO;A
PO28;Kierujący rowerem powinien w pierwszej kolejności jechać:
PO28O1;po prawej części jezdni
PO28O2;jak najbliżej prawej krawędzi jezdni
PO28O3;po poboczu, jeżeli nie utrudni poruszania się pieszym
PO28DO;C
PO29;Do obowiązkowego wyposażenia roweru należy:
PO29O1;lusterko z lewej strony kierownicy
PO29O2;co najmniej jedno tylne światło odblaskowe o kształcie innym niż trójkąt
PO29O3;światło mijania barwy białej
PO29DO;B
PO30;Dziecko poniżej 10 lat powinno jechać rowerem pod opieką osoby dorosłej:
PO30O1;po lewej stronie jezdni
PO30O2;tylko po chodniku
PO30O3;tylko po prawej stronie jezdni
PO30DO;A
PO31;Ilu rowerzystów może jechać w zorganizowanej kolumnie rowerów jednośladowych?
PO31O1;dowolna ilość, pod warunkiem, że długość kolumny nie przekracza 50 m
PO31O2;nie więcej niż 15
PO31O3;20
PO31DO;B
PO32;Rozpiętość kierownicy roweru może mieć:
PO32O1;1 m
PO32O2;90 cm
PO32O3;95 cm
PO32DO;B
PO33;Przechodzenie przez drogę o dwóch jezdniach jest:
PO33O1;dozwolone na obszarze zabudowanym tylko na przejściach dla pieszych
PO33O2;dopuszczalne poza obszarem zabudowanym, jeżeli odległość od najbliższego przejścia przekracza 50 m i pod warunkiem ustąpienia pierwszeństwa pojazdom
PO33O3;dozwolone zawsze, jeżeli odległość od wyznaczonego przejścia przekracza 100 m
PO33DO;A
PO34;Podczas wymijania kierujący rowerem jest obowiązany:
PO34O1;zachować bezpieczny odstęp od wymijanego uczestnika ruchu, jednak nie mniejszy niż 1 metr, jeżeli jest to pojazd jednośladowy albo kolumna pieszych
PO34O2;w razie potrzeby zmniejszyć prędkość
PO34O3;zachować szczególną ostrożność
PO34DO;B
PO35;Pieszemu zabrania się wchodzenia na tory na przejeździe kolejowym, jeżeli:
PO35O1;podnoszenie zapór lub półzapór nie zostało zakończone
PO35O2;za przejazdem po lewej stronie stoją pojazdy
PO35O3;opuszczenie zapór lub półzapór zostało rozpoczęte
PO35DO;C
PO36;Szczególną ostrożność należy zachować przy:
PO36O1;omijaniu
PO36O2;cofaniu
PO36O3;wymijaniu
PO36DO;B
PO37;Który pieszy nie ustępuje pierwszeństwa rowerowi na drodze dla rowerów?
PO37O1;niepełnosprawny
PO37O2;idący lewą stroną drogi
PO37O3;idący prawą stroną drogi
PO37DO;A
PO38;Dziecko do lat 7 może korzystać z drogi tylko pod opieką osoby, która ukończyła wiek co najmniej 10 lat z wyjątkiem gdy dziecko:
PO38O1;idzie do przedszkola
PO38O2;porusza się w strefie zamieszkania
PO38O3;wraca z zajęć w oddziale przedszkolnym
PO38DO;B
PO39;Kiedy dozwolone jest korzystanie przez pieszych z drogi dla rowerów?
PO39O1;tylko w razie braku chodnika lub pobocza albo niemożliwości korzystania z nich
PO39O2;nigdy
PO39O3;tylko przy małym ruchu rowerów
PO39DO;A
PO40;Ile osób może iść obok siebie w kolumnie (nie wojskowej)?
PO40O1;liczba pieszych idących jezdnią obok siebie nie może przekraczać czterech
PO40O2;tyle, aby nie zajmować więcej niż połowa szerokości jezdni
PO40O3;w kolumnach trzeba zawsze iść parami
PO40DO;A
PO41;Jeżeli przemarsz kolumny pieszych odbywa się w warunkach niedostatecznej widoczności, pierwszy i ostatni z idących z lewej strony są obowiązani nieść latarki:
PO41O1;pierwszy - ze światłem białym skierowanym do przodu
PO41O2;ostatni - ze światłem białym skierowanym do tyłu
PO41O3;pierwszy - ze światłem czerwonym skierowanym do przodu
PO41DO;A
PO42;Co to jest jezdnia?
PO42O1;część drogi przeznaczona do ruchu pojazdów
PO42O2;utwardzona część drogi
PO42O3;część drogi przeznaczona dla pieszych i pojazdów
PO42DO;A
PO43;Do obowiązkowego wyposażenia roweru należy:
PO43O1;lusterko wsteczne
PO43O2;co najmniej jeden skutecznie działający hamulec
PO43O3;światło barwy żółtej samochodowej w pedałach
PO43DO;B
PO44;Jak powinien zachować się rowerzysta podczas wyprzedzania go przez motorowerzystę?
PO44O1;zwiększyć prędkość
PO44O2;zmniejszyć prędkość
PO44O3;nie zwiększać prędkości
PO44DO;C
PO45;Jak powinien zachować się kierujący rowerem, korzystający z drogi dla rowerów i pieszych?
PO45O1;rowerzysta ma pierwszeństwo przed pieszymi
PO45O2;rowerzysta jest obowiązany zachować szczególną ostrożność wobec pieszego idącego taką drogą i ustępować mu pierwszeństwa
PO45O3;nie wyprzedzać pieszych na takiej drodze
PO45DO;B
PO46;Kierującemu rowerem w strefie zamieszkania zabrania się przekraczania prędkości:
PO46O1;25 km/h
PO46O2;30 km/h
PO46O3;20 km/h
PO46DO;C
PO47;Co to jest rower?
PO47O1;każdy pojazd napędzany siłą osoby siedzącej na nim
PO47O2;pojazd o szerokości nieprzekraczającej 0,9 m poruszany siłą mięśni osoby jadącej tym pojazdem
PO47O3;pojazd jednośladowy lub wielośladowy zaopatrzony w silnik spalinowy o pojemności skokowej nie przekraczającej 50 cm³, którego konstrukcja ogranicza prędkość jazdy do 45 km/h
PO47DO;B
PO48;Który pieszy nie ustępuje pierwszeństwa rowerowi na drodze dla rowerów?
PO48O1;niepełnosprawny
PO48O2;idący lewą stroną drogi
PO48O3;idący prawą stroną drogi
PO48DO;A
PO49;Kierującemu rowerem zabrania się:
PO49O1;jazdy z jedną ręką na kierownicy
PO49O2;wyprzedzania rowerzysty na przejeździe kolejowym
PO49O3;wyprzedzania rowerzysty na rondzie
PO49DO;B
PO50;W jakich miejscach zabronione jest wyprzedzanie pojazdu silnikowego?
PO50O1;na skrzyżowaniach o ruchu kierowanym
PO50O2;na skrzyżowaniach o ruchu okrężnym
PO50O3;na skrzyżowaniach równorzędnych
PO50DO;C
PO51;Zabrania się cofania:
PO51O1;na moście
PO51O2;na drodze jednokierunkowej
PO51O3;w obszarze zabudowanym
PO51DO;A
PO52;Liczba pieszych idących po jezdni w kolumnie obok siebie nie może przekraczać:
PO52O1;czterech również wtedy, gdy są to piesi do lat dziesięciu
PO52O2;czterech, a jeśli są to piesi do lat dziesięciu – dwóch
PO52O3;sześciu, a jeśli są to piesi do lat dziesięciu – czterech
PO52DO;B
PO53;Kierującemu rowerem zabrania się wyprzedzania:
PO53O1;z lewej strony uczestnika ruchu, który sygnalizuje zamiar skrętu w lewo
PO53O2;w tunelach, na mostach i wiaduktach
PO53O3;na przejściach dla pieszych gdy ruch jest kierowany
PO53DO;A
PO54;Kierujący rowerem, zbliżając się do skrzyżowania dróg równorzędnych, ma obowiązek zachować szczególną ostrożność i ustąpić pierwszeństwa:
PO54O1;nadjeżdżającym z lewej strony
PO54O2;wszystkim pojazdom
PO54O3;pojazdom nadjeżdżającym z prawej strony, a pojazdom szynowym i uprzywilejowanym będącym w akcji niezależnie od tego, z której strony nadjeżdżają
PO54DO;C
PO55;Kierujący rowerem korzystając z drogi dla rowerów i pieszych:
PO55O1;ma pierwszeństwo przed pieszym
PO55O2;nie może przekraczać prędkości pieszego (około 5 km/h)
PO55O3;jest obowiązany zachować szczególną ostrożność i ustępować miejsca pieszym
PO55DO;C
PO56;Długość kolumny pieszych nie może przekraczać:
PO56O1;30 m
PO56O2;50 m
PO56O3;100 m
PO56DO;B
PO57;Pieszy jest obowiązany korzystać:
PO57O1;tylko z chodnika
PO57O2;tylko z drogi dla pieszych
PO57O3;z chodnika lub drogi dla pieszych, a w razie ich braku - z pobocza
PO57DO;C
PO58;Jeżeli pieszy pełnosprawny korzysta z drogi dla rowerów, to:
PO58O1;jest obowiązany ustąpić pierwszeństwa rowerowi
PO58O2;ma pierwszeństwo przed kierującymi rowerami
PO58O3;musi zawsze zejść z tej drogi, gdy nadjeżdża rowerzysta
PO58DO;A
PO59;Pieszemu zabrania się:
PO59O1;przechodzenia przez jezdnię w innych miejscach niż wyznaczone
PO59O2;wchodzenia na tory, gdy jeszcze trwa podnoszenie zapór
PO59O3;chodzenia po torowiskach
PO59DO;C
PO60;Niewidomy podczas samodzielnego poruszania się po drodze jest obowiązany:
PO60O1;mieć przy sobie odpowiednie dokumenty
PO60O2;mieć na prawym rękawie odpowiednie oznakowanie
PO60O3;nieść białą laskę w sposób widoczny dla innych uczestników ruchu
PO60DO;C
PO61;Rower może być wyposażony w uruchamiany naciskiem na pedały pomocniczy napęd elektryczny zasilany prądem:
PO61O1;o napięciu nie wyższym niż 24 V o znamionowej mocy ciągłej nie większej niż 500 W
PO61O2;o napięciu nie wyższym niż 48 V o znamionowej mocy ciągłej nie większej niż 250 W
PO61O3;o napięciu nie wyższym niż 230 V o znamionowej mocy ciągłej nie większej niż 500 W
PO61DO;B
PO62;Jak powinien zachować się uczestnik ruchu, gdy nadjeżdża pojazd uprzywilejowany?
PO62O1;nie zwiększać prędkości
PO62O2;koniecznie zatrzymać się
PO62O3;obowiązkowo ułatwić przejazd, a w szczególności niezwłocznie usunąć się z jego drogi i w razie potrzeby zatrzymać się
PO62DO;C
PO63;Kiedy dozwolone jest korzystanie przez pieszych z drogi dla rowerów?
PO63O1;tylko w razie braku chodnika lub pobocza albo niemożliwości korzystania z nich
PO63O2;nigdy
PO63O3;tylko przy małym ruchu rowerów
PO63DO;A
PO64;Na autostradzie zabrania się:
PO64O1;jazdy rowerem
PO64O2;wyprzedzania
PO64O3;jazdy motocyklem
PO64DO;A
PO65;Włączanie się do ruchu następuje przy wjeżdżaniu:
PO65O1;na drogę z pola lub na drogę twardą z drogi gruntowej
PO65O2;z pola na drogę gruntową
PO65O3;z drogi podporządkowanej na drogę z pierwszeństwem
PO65DO;A
PO66;Kierujący rowerem jest obowiązany przed skręceniem zbliżyć się do prawej krawędzi jezdni:
PO66O1;zawsze
PO66O2;gdy ma zamiar skręcić w lewo
PO66O3;jeżeli zamierza skręcić w prawo
PO66DO;C
PO67;Kierującemu rowerem zabrania się:
PO67O1;jazdy za drugim rowerzystą
PO67O2;czepiania się pojazdów
PO67O3;jazdy, gdy rowerzysta trzyma kierownicę tylko jedną ręką
PO67DO;B
PO68;W rowerze z pomocniczym napędem elektrycznym moc wyjściowa zmniejsza się stopniowo i spada do zera po przekroczeniu prędkości:
PO68O1;20 km/h
PO68O2;30 km/h
PO68O3;25 km/h
PO68DO;C
PO69;Dziecko do lat 10 może jechać rowerem pod opieką osoby dorosłej:
PO69O1;po chodniku
PO69O2;po prawej stronie jezdni
PO69O3;po lewej stronie jezdni tylko w strefie zamieszkania
PO69DO;A
PO70;Dopuszcza się w rowerach, wózkach rowerowych i przyczepach rowerowych:
PO70O1;odblaskowy pasek w kształcie nieprzerwanego pierścienia umieszczony po lewej stronie opony
PO70O2;odblaskowy pasek w kształcie nieprzerwanego pierścienia umieszczony po obu stronach opony
PO70O3;odblaskowy pasek w kształcie przerywanego pierścienia umieszczony po obu stronach opony
PO70DO;B
PO71;Widząc autobus wyjeżdżający z zajezdni na drogę kierujący rowerem:
PO71O1;powinien ustąpić pierwszeństwa autobusowi bez względu na to, z której strony wyjeżdża
PO71O2;powinien ustąpić pierwszeństwa autobusowi, jeżeli wjeżdża z prawej strony
PO71O3;może pojechać przed nim, gdyż autobus włącza się do ruchu
PO71DO;C
PO72;Jeżeli na jezdni, w związku z prowadzonymi robotami drogowymi, umieszczone są znaki poziome barwy białej i żółtej, oznakowanie barwą:
PO72O1;białą ma zastosowanie w pierwszej kolejności przed oznakowaniem barwą żółtą
